Activity Date Type,https://iatistandard.org/en/iati-standard/203/codelists/ActivityDateType/
Activity Scope,https://iatistandard.org/en/iati-standard/203/codelists/ActivityScope/
Activity Status,https://iatistandard.org/en/iati-standard/203/codelists/ActivityStatus/
Aid Type,https://iatistandard.org/en/iati-standard/203/codelists/AidType/
Aid Type (category),https://iatistandard.org/en/iati-standard/203/codelists/AidType-category/
Aid Type Vocabulary,https://iatistandard.org/en/iati-standard/203/codelists/AidTypeVocabulary/
Budget Identifier,https://iatistandard.org/en/iati-standard/203/codelists/BudgetIdentifier/
Budget Identifier Sector,https://iatistandard.org/en/iati-standard/203/codelists/BudgetIdentifierSector/
Budget Identifier Sector (category),https://iatistandard.org/en/iati-standard/203/codelists/BudgetIdentifierSector-category/
Budget Identifier Vocabulary,https://iatistandard.org/en/iati-standard/203/codelists/BudgetIdentifierVocabulary/
Budget Not Provided,https://iatistandard.org/en/iati-standard/203/codelists/BudgetNotProvided/
Budget Status,https://iatistandard.org/en/iati-standard/203/codelists/BudgetStatus/
Budget Type,https://iatistandard.org/en/iati-standard/203/codelists/BudgetType/
CRS Additional Other Flags,https://iatistandard.org/en/iati-standard/203/codelists/CRSAddOtherFlags/
CRS Channel Code,https://iatistandard.org/en/iati-standard/203/codelists/CRSChannelCode/
Cash and Voucher Modalities,https://iatistandard.org/en/iati-standard/203/codelists/CashandVoucherModalities/
Collaboration Type,https://iatistandard.org/en/iati-standard/203/codelists/CollaborationType/
Condition Type,https://iatistandard.org/en/iati-standard/203/codelists/ConditionType/
Contact Type,https://iatistandard.org/en/iati-standard/203/codelists/ContactType/
Country,https://iatistandard.org/en/iati-standard/203/codelists/Country/
Currency,https://iatistandard.org/en/iati-standard/203/codelists/Currency/
Description Type,https://iatistandard.org/en/iati-standard/203/codelists/DescriptionType/
Disbursement Channel,https://iatistandard.org/en/iati-standard/203/codelists/DisbursementChannel/
Document Category,https://iatistandard.org/en/iati-standard/203/codelists/DocumentCategory/
