Node Labels,Property Keys
DUNS,IATI_equivalent
IATI_activities,abbreviation
IATI_activity,activity_id
IATI_identifier,activity_period
IATI_organisation,activity_status
IATI_organisations,adm1
IATI_summary,adm2
Keywords,aggregation_status
Strategyid,ascending
TAG,attached
Tag,begin
Typeoffundingid,budget_not_provided
activity_date,budget_period
activity_description,budgettype
activity_scope,centre_ref
activity_status,code
activity_website,coding
actual,contact_email
administrative,continent
aid_type,contributionid
aidtype_flag,country
appropriated_agency,crs_channel_code
appropriation,currency
appropriation_amount,date_type
appropriation_year,date_type_remark
baseline,default_currency
budget,description
budget_item,donor_id
budget_line,donor_type
capital_spend,email
category,encoding
channel_code,end
code,explanation
collaboration_type,field
comment,file_id
commitment_date,filename
condition,format
conditions,gazetteer_ref
contact_info,generated_datetime
contribution,generator
contributionstatusid,hierarchy
coordinates,humanitarian
country,id
country_budget_items,indicator_id
country_of_origin,indicator_uri
crs_add,indid
dac_sector,infradata_id
default_aid_type,internal_org_ref
default_finance_type,iso_date
default_flow_type,label
default_tied_status,lang
department,last_updated_datetime
descr,latitude
description,level
dimension,license
disbursement_channel,linked_data_default
document_date,linked_data_uri
document_link,longitude
duns_number,measure
email,name
exactness,noNamespaceSchemaLocation
expense_line,organisationtype
feature_designation,organizationcode
finance_type,owner_name
fiscal_funding_year,owner_ref
flagUrl,percentage
flow_type,photo_credit
framework_sector,photo_id
framework_sector_code,precision
gazetteer_entry,provider_activity_id
geojson,publish
humanitarian_scope,publisher_id
implementing_agent,publisher_role
indicator,rate_1
interagency_transfer_status,rate_2
interest_arrears,receiver_activity_id
interest_received,record_offset
job_title,records_returned
keyWordid,ref
language,remark
legacy_data,result_id
loan_status,role
loan_terms,schemaLocation
location,secondary_reporter
location_class,significance
location_id,source_url
location_reach,srsName
location_type,status
mailing_address,strategy_amount
main_account,strategy_end_date
measure_detail,strategy_start_date
mechanism_signing_date,systemlevel
name,systemstorage
narrative,systemtype
organisation,text
organisation_identifier,title
other_flags,total_records_available
other_identifier,type
owner_org,updated
participating_org,url
period,uuid
period_end,value
period_start,value_date
person_name,verification_status
planned_disbursement,version
point,vocabulary
policy_marker,vocabulary_uri
pos,website
principal_arrears,year
principal_outstanding,Connected as
provider_org,
purpose_statement,
receiver_org,
recipient_country,
recipient_country_budget,
recipient_org,
recipient_org_budget,
recipient_region,
recipient_region_budget,
reference,
registry_record,
regular_account,
related_activity,
repayment_final_date,
repayment_first_date,
repayment_plan,
repayment_type,
reporting_org,
result,
sector,
sidadepartmentid,
signing_date,
source_appropriation_agency,
state_location,
strategies,
strategy,
sub_division,
subdivision,
tag,
target,
tec1,
telephone,
tied_status,
title,
titleSV,
total_budget,
total_expenditure,
transaction,
transaction_date,
transaction_type,
treasury_account,
treasury_info,
treasury_main_account,
treasury_main_regular,
type,
usg_activity,
usg_organisation,
value,
value_USD,
website,
